dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift,model_score_policy,n_scored,n_all_valid,MAE_all_valid,previous_MAE,replay_MAE_difference,prediction_file,prediction_sha256
mta,spin,2,0,regional shift,outside,580.34956788906413,248.30599369085169,155.82280772812058,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,580.16136802490541,674.88443148381668,-94.723063458911284,results_mta/coverage_matched_predictions/spin_ts2_p0_regional_shift_outside.npz,d4475c3f8ec1289283741395e19f18be3033faaf3f297ea1c70e8a01af72d31a
mta,spin,2,1,regional shift,inside,174.23581299931672,236.51860611794388,159.65467919311348,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,174.34524313764118,197.5705017073812,-23.225258569740021,results_mta/coverage_matched_predictions/spin_ts2_p1_regional_shift_inside.npz,4ecad2f66dab06516834e8b692017e56ee4fdc699f36682a127855482a54b848
mta,spin,2,1,regional shift,outside,547.31719094922732,236.51860611794388,160.21150760772235,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,547.21698515891774,632.58578276858418,-85.36879760966643,results_mta/coverage_matched_predictions/spin_ts2_p1_regional_shift_outside.npz,574328d48b400dff7bf3a89548e5756a6664551da202b2a8d6da4fe757b541e3
mta,spin,2,2,regional shift,inside,208.30343349506279,264.13977887494093,166.27817808148609,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,208.31066893249127,224.90672920386515,-16.59606027137383,results_mta/coverage_matched_predictions/spin_ts2_p2_regional_shift_inside.npz,607cf1d1c6d85ae4c94b9ffad275904cc71f02c7f6279961e2ca422bc37ec6f5
mta,spin,2,2,regional shift,outside,633.60389119045112,264.13977887494093,167.68460021856967,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,633.61021606842769,743.25775916395332,-109.64754309552563,results_mta/coverage_matched_predictions/spin_ts2_p2_regional_shift_outside.npz,c25a68644db0121212779dc801d112ae3a1a66ad8ae32dbed61bfb4682be61e7
mta,spin,2,3,regional shift,inside,194.54432216112161,249.55521391779669,154.53149023371401,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,194.63761779288157,207.13093971631207,-12.493321923430528,results_mta/coverage_matched_predictions/spin_ts2_p3_regional_shift_inside.npz,f758faba1e534fedde0e80ab467fac9f55b9c9a48f7fb22946dcd94bc1729366
mta,spin,2,3,regional shift,outside,601.4153190042573,249.55521391779669,154.42793466022005,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,601.28178601917523,692.77063304439196,-91.488847025216742,results_mta/coverage_matched_predictions/spin_ts2_p3_regional_shift_outside.npz,283acf278aa772976c4c37b06a36798c7479698b11126987e2df580e74fb5f12
mta,spin,2,4,regional shift,inside,192.00587609994747,243.52511163645917,152.6169901479139,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,191.99503389246323,214.29827665441169,-22.303242761948468,results_mta/coverage_matched_predictions/spin_ts2_p4_regional_shift_inside.npz,f33961bb92dde5c8b1d926f7744d1c00c7e8ce09e343fca9e43263390cf04be4
mta,spin,2,4,regional shift,outside,492.6118995436039,243.52511163645917,150.97627092231934,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,492.57200999540441,591.15944065126052,-98.587430655856124,results_mta/coverage_matched_predictions/spin_ts2_p4_regional_shift_outside.npz,117275f6162c6117a1b2387876637bae24811faaf7d669374eda7ad6eda3e99b
mta,spin_c,0,0,no shift,inside,512.93128286014723,993.22397476340689,615.58343963507525,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,512.95650417717525,515.80844104665823,-2.8519368694829841,results_mta/coverage_matched_predictions/spin_c_ts0_p0_no_shift_inside.npz,e5464d931afa78259fbd46d654900aeb0a2525c8e1d0e25f7dad32503f46fbf7
mta,spin_c,0,0,no shift,outside,524.72036014721357,993.22397476340689,623.27623474511495,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,524.73436186422862,532.08935608448928,-7.3549942202606644,results_mta/coverage_matched_predictions/spin_c_ts0_p0_no_shift_outside.npz,b3a85db19dc0ba47cef45a473bfbd062b44f90e7aa3166e5cb32bbfe74ec60a1
mta,spin_c,0,1,no shift,inside,481.36355513507834,946.07442447177561,638.72481956601712,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,481.45881107170999,487.46893223010238,-6.0101211583923932,results_mta/coverage_matched_predictions/spin_c_ts0_p1_no_shift_inside.npz,d4b120503cd7fa692ff9e265aa63298a9c6dada967913e05c0a9f653de10f1d3
mta,spin_c,0,1,no shift,outside,481.88602767265849,946.07442447177561,640.8436092925723,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,481.97355200945623,495.11563567113205,-13.142083661675828,results_mta/coverage_matched_predictions/spin_c_ts0_p1_no_shift_outside.npz,ad6b00a638a4565f1017f503b3ecd2963624eacdef4d684e3cf5902af9881694
